,ZIPCODE,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,ETM,EHM,EMM,ETR,EHR,EMR,ETA,EHA,EMA,EPU,EPR,ESV,EUR,ERU,ETAA,ETAAH,ETAAM,CTM,CHM,CMM,CTR,CHR,CMR,CTA,CHA,CMA,CPU,CPR,CSV,CUR,CRU,CTAA,CTAAH,CTAAM,EEXM,CEXM,ASALTO,HOMICIDIO,HURTO,ROBO,ROBO_VEHICULO,TACHA_VEHICULO,TCP,EPEXM,CPEXM,ET,EPPR,EPRU,EPHM,CT,CPPR,CPRU,CPHM,TASA_ASALTO,TASA_HOMICIDIO,TASA_HURTO,TASA_ROBO,TASA_ROBO_VEHICULO,TASA_TACHA_VEHICULO
ETR,0.03952895008427151,0.5329800875213634,-0.09933910897545638,0.08676812825655808,0.5500267996246867,0.23264342244018493,0.18028159360564286,0.5547813525460338,0.5561473950290359,0.5526002915518817,1.0,0.9765213841168091,0.9404140732947444,0.5437689812718434,0.5436849269817571,0.5431254346277087,0.3920012973280678,0.12123651545218446,0.06079422237875662,0.2138911963092611,0.2562040792859098,-0.48272840063280054,-0.44912470929107784,-0.47580539931710863,0.3525251911636071,0.3575196583796491,0.3460952784599949,0.06630325603407052,0.03206704683018733,0.08458907290856903,0.34170664982377075,0.34375456910100277,0.3380215539633912,0.4457557862855009,0.1370380863701597,0.07238952285154078,0.22507941755086364,0.25617262934789703,-0.1431808827570836,-0.14119403816651124,-0.13674945691357013,0.49691345950269505,0.49691345950269505,0.2902604608838121,0.3654898265483029,0.2593207897201624,0.38284698221325586,0.37050906963350594,0.15746209498336158,0.12742979273817362,0.10018659211604093,-0.002441999872599252,0.4192283572493993,-0.031035208850090097,-0.08810732489971333,-0.07689054719176817,0.4174159088086536,0.0017803288130410254,-0.08824038068815587,-0.012508286558044803,0.051281169564796544,0.11714864927225874,0.027430605039631194,0.017903525885751136,0.06212438814035829,-0.027087552499204973
EHR,0.031200908510583544,0.5594376768072619,-0.07536734086767849,0.06013112733337168,0.5762671852039439,0.224435565478621,0.19214210804726342,0.5833399579426712,0.5860810278599289,0.5796914335979888,0.9765213841168091,1.0,0.8450847169735632,0.5725784634751366,0.5732796693265908,0.5710910006422116,0.38397976628408215,0.12729824799680373,0.05619147357549221,0.22781873246763568,0.23861507175040741,-0.45490975872081874,-0.4434673197020986,-0.4179001972892414,0.37862319734575095,0.3832653465149578,0.37240055419745494,0.032650801300105094,0.014668774560752742,0.04302722828604063,0.36805933655440726,0.36961040056936034,0.3646872810284105,0.45205790513684896,0.14680409856362397,0.07553280426501628,0.246891671258851,0.23499112809222492,-0.14213759113264354,-0.14279620030446027,-0.1328207920656588,0.5168115303167362,0.5168115303167362,0.3050325913530768,0.37140383391272197,0.2709946439775732,0.410625293314777,0.3825651878229061,0.1752282548451985,0.1180001968294279,0.09419080988867849,-0.008944291224473194,0.41187548650792677,-0.02522508707156488,-0.10376990492343231,-0.0594522791919124,0.4277422974942374,0.003298670419492542,-0.10385831388664331,-0.02149413698615086,0.05052923929108464,0.11289152491447736,0.026211948252710157,0.02647834905654318,0.0639131977977073,-0.028843516955221818
EMR,0.04885407526452889,0.43970767322451265,-0.12757674007992634,0.12042764109615409,0.45544973746347517,0.22311512890379392,0.1441368435698873,0.4560855781862611,0.455149180161348,0.456431631741782,0.9404140732947444,0.8450847169735632,1.0,0.44574150930920303,0.4444260811554683,0.44649224203977383,0.36677761917193547,0.09995134039163513,0.06218394225436023,0.17123551795315659,0.259206464824535,-0.47998516192640817,-0.4146486007047985,-0.521221504571646,0.27726057968434553,0.2823284703469235,0.27112492582324976,0.11301418815534466,0.056430279983999146,0.14201736831169912,0.2670856038492083,0.26971986362041844,0.2632625373114599,0.3927277308577346,0.10837871833664445,0.06043184919058409,0.1688967765402117,0.2648486420795917,-0.13098983260704453,-0.12501928005087518,-0.12973440759068386,0.4174806363114545,0.4174806363114545,0.23889085621424277,0.32083175951604537,0.21583186380492822,0.3019996106216928,0.31567087143191225,0.11420096256845462,0.1299984193965434,0.09996804264498106,0.008057579984007145,0.39031784685251886,-0.03720679719466223,-0.05486944830308339,-0.09698490638652252,0.3607746583808345,-0.0007883656427212839,-0.05506011778125532,0.0028843430225238094,0.04751194490697364,0.11254639508442567,0.026703145059404968,0.0026382566037279538,0.0532967691392727,-0.02169794299626546
ETA,0.009917700380522294,0.9002786924632882,0.20502697312684662,-0.219049192423417,0.8968715044294905,0.054315674348773386,0.3325818727991918,0.9997646166285208,0.9991133080860414,0.9990676383065612,0.5437689812718434,0.5725784634751366,0.44574150930920303,1.0,0.9993538883015944,0.9993205567387614,0.3088527181236582,0.5506192168166678,0.23022101472859116,0.6099837600262942,-0.050710751746033955,-0.14439905662886593,-0.1493021411150376,-0.1217706800975783,0.7927087967356928,0.7928453306908151,0.7887485914217773,0.05506436636016965,0.06969654011870359,0.017628407738520726,0.7840506903018019,0.7823677926474318,0.7814161127168902,0.6267734669180266,0.523969520394298,0.22489666340115558,0.7265517109636047,-0.04227113306002114,-0.2280587760599667,-0.22498730748117238,-0.21968293990762983,0.6139466410514953,0.6139466410514953,0.5529877451005307,0.6313670279287458,0.5575946442661979,0.7659064709480109,0.7347923776565108,0.48750547694827995,-0.018298950534709937,-0.03623248736216962,-0.04983341844551013,0.40556327761787914,0.25155792225942736,-0.3971505138418066,-0.15742376194643373,0.778269939046975,0.21791066208389104,-0.39668139781507256,-0.07759249015170058,0.18306092151048645,0.20339102507822418,0.14103914769010897,0.09385547865879089,0.2726514148361244,0.09426855897588324
EHA,0.013018887574820299,0.8990489327273795,0.202553533132999,-0.2168059667428526,0.8957197066755977,0.05666951350169137,0.32729042764839056,0.99905574097622,0.9996758456048381,0.9970391305205376,0.5436849269817571,0.5732796693265908,0.4444260811554683,0.9993538883015944,1.0,0.9973501873455041,0.31228413068927435,0.5495276205417056,0.22323271930509422,0.6137138546647343,-0.05037775359321708,-0.14331319380019203,-0.14766957386719243,-0.12120273056526609,0.7929644676480022,0.7932737405793318,0.7888395650748824,0.05847722205556703,0.07393042752196709,0.01882592167530143,0.7840775251900002,0.7825102220081586,0.7813373708837729,0.6285598697376431,0.5241075591549447,0.22091501229520527,0.7273336402795584,-0.04217477205797628,-0.22914052408984506,-0.22577270681149764,-0.22102784621838473,0.6158851551901325,0.6158851551901325,0.5512094231118773,0.6337286107055404,0.5559595182946669,0.7683950895686747,0.7345794700153269,0.48995940168984453,-0.016419440181158016,-0.034655792508628894,-0.05057371963956008,0.4086935398458221,0.24977888283346814,-0.3970675407208807,-0.13549602626075738,0.7792004135286829,0.21761635609558833,-0.3966197148938818,-0.07735396941987101,0.18404090121873273,0.20556037782828038,0.14225322507826763,0.09669119169615834,0.27256204142295176,0.09688369569220683
EMA,0.00672424404827545,0.9003315840983159,0.2072882421799256,-0.22105556776413166,0.8968490215530274,0.051829012002809094,0.3375617170247918,0.9991498512440876,0.9971956320571682,0.999807039643913,0.5431254346277087,0.5710910006422116,0.44649224203977383,0.9993205567387614,0.9973501873455041,1.0,0.3049194560473044,0.5509996721943202,0.23707828169158637,0.6053400915534589,-0.050984174270952934,-0.14531878233128312,-0.15077591094615783,-0.12218967328884313,0.7913827964845623,0.7913420101158781,0.7875967964153485,0.05149071903404479,0.06526132028335142,0.01637674639903291,0.7829709717113771,0.7811717948842913,0.7804481945615288,0.6241004468457542,0.5231247969622773,0.22867787899049472,0.724774836392523,-0.04231321941632007,-0.22664342940711207,-0.22387997680949337,-0.21800897510331851,0.6111348504168614,0.6111348504168614,0.5540692323813992,0.6280980186203209,0.5585231071221647,0.7623266386349952,0.734024610629485,0.4843348375647793,-0.020201757928058974,-0.03780070234267842,-0.04900739166563169,0.4018090473700529,0.2530446657700856,-0.3967026213126895,-0.17969853755225423,0.7762713310376842,0.21792002407599625,-0.3962123025714255,-0.07773295431503724,0.18181032168419936,0.2008934863922029,0.1396048832656721,0.09082161076535801,0.2723771640519743,0.09146032915536842
EPU,0.36967028712952843,0.14449949179566304,-0.5364040063441693,0.567187882817756,0.1431736288096574,0.644579595229077,-0.3460222007378749,0.3100034217692204,0.31400045090874223,0.3054258558663608,0.3920012973280678,0.38397976628408215,0.36677761917193547,0.3088527181236582,0.31228413068927435,0.3049194560473044,1.0,-0.19273324365417852,-0.011134690673249455,0.2909551473878424,0.7610760094366747,-0.1160883540781204,-0.11873581001311476,-0.09986758926026473,0.1725761350464384,0.17529477454379505,0.1691694798236223,-0.006706145237990867,-0.03364218476732264,0.028589344896618612,0.18930123985025873,0.19392139910269843,0.18408048370875257,0.6492983617736234,-0.1611031845212229,-0.04452177013175565,-0.013540445193689538,0.630338140728836,0.06623407485228476,0.05390390569940149,0.07590450122955199,0.08657230838468548,0.08657230838468548,-0.08174853240653931,0.08212209616353097,0.09905295904400895,0.32947667135952974,0.017347847724637117,-0.013625504559737147,-0.020807258020613346,-0.1225467904080571,-0.10230814271750993,0.9874019097400277,-0.38053176605874894,0.34531511482370547,0.021615302714610967,0.3977206868701604,-0.28426198743275355,0.34593392244348725,-0.054221812273679885,-0.11617936306886378,0.031003772436392785,-0.006354457254205149,0.14278610806534803,-0.11372241519754377,-0.05145165294126217
EPR,-0.13352520983432858,0.5466317485124517,0.5026813850054708,-0.5023023657147656,0.541224472980265,-0.20903736456197994,0.4070116355804049,0.5491850143450249,0.5470406602812321,0.5506578605487602,0.12123651545218446,0.12729824799680373,0.09995134039163513,0.5506192168166678,0.5495276205417056,0.5509996721943202,-0.19273324365417852,1.0,0.1603635054642447,0.36902552713513126,-0.3102908392653744,-0.023603617383304354,-0.018152914589324245,-0.031008441877176496,0.5021953538659039,0.5055025490779691,0.4966387683629392,0.2501701714690874,0.34317768204586263,0.04767215280623295,0.5011965165350402,0.5046316099707876,0.4953980143052534,0.11379226763634082,0.9068966220844702,0.16689530465372862,0.705440094836799,-0.2961057854121265,-0.10500406967798476,-0.10365197940067085,-0.10202111572168969,0.434108587215867,0.434108587215867,0.452234223596868,0.3637606929488041,0.37133983871947485,0.37859574937883467,0.5534604238493346,0.5465046091130166,-0.013833847035431673,0.09102360597883,0.07942934154090085,-0.03734975618379936,0.7760606506291566,-0.4499148984403379,-0.10596329120260077,0.5886421793118175,0.6465227290745985,-0.4499528626283391,0.016574397965371163,0.26573876843401284,0.10829131227028747,0.18517236567276835,0.055678865086521756,0.3425733054988149,0.24884632170139784
ESV,-0.07954777133718983,0.2528928776843244,0.15775376585468193,-0.16740822555969445,0.24496973362768673,-0.07089160716258595,0.1672019479504027,0.2288152760435798,0.22069418043089897,0.23693623986226292,0.06079422237875662,0.05619147357549221,0.06218394225436023,0.23022101472859116,0.22323271930509422,0.23707828169158637,-0.011134690673249455,0.1603635054642447,1.0,0.24042816564788835,-0.13756548233625257,-0.012693422001624603,0.001524385999464197,-0.03163415635716936,0.23897771650960917,0.24426612390993552,0.23281840271969334,-0.017956107639155623,-0.018288021321051128,-0.011173269846880206,0.22583959529214578,0.22984690164425328,0.22098351421467752,0.10898717701040621,0.1792326517701193,0.4996050209878458,0.2964869173323458,-0.1377952687660309,-0.17623471118395045,-0.16622920314715275,-0.1786966408950992,0.0962662884284085,0.0962662884284085,0.29298775069216915,0.12130815610612478,0.3253765851061009,0.24835784007831263,0.26193537463034855,0.20119169062180767,-0.039174093054609276,-0.020354806918455995,-0.04308211662796317,0.0409762912177163,0.06056439250758398,-0.19951293641151438,-0.09278880622036967,0.23865946023889759,0.04511954691898041,-0.1995172173182926,-0.015268116935783919,0.1283247919397718,0.04299585682623047,0.09891455320414126,0.044459790816800106,0.14839793076805194,0.04663547510998351
EUR,0.1314936006175516,0.5734035545106203,0.1773068857906793,-0.17756560284704667,0.5600815635761665,0.030219895303541744,0.07021499123762076,0.6075978087798608,0.6108258158098238,0.6034101813323343,0.2138911963092611,0.22781873246763568,0.17123551795315659,0.6099837600262942,0.6137138546647343,0.6053400915534589,0.2909551473878424,0.36902552713513126,0.24042816564788835,1.0,-0.3850598957965673,-0.061858916501556074,-0.06408179559290395,-0.051984634050612474,0.5779019304898281,0.5779990999001703,0.5750170944940022,0.11556876146636026,0.0994923490152659,0.09416765380078622,0.5779092185792327,0.5776723062333198,0.5750520068859934,0.4893335943673441,0.3525922901927017,0.1819136732430662,0.749513256103789,-0.38650923346734706,-0.14716142664098553,-0.13587563167782118,-0.15339701853417337,0.19624331798828093,0.19624331798828093,0.289327504549812,0.3307720350179539,0.42807614419111323,0.630937221855444,0.4020430831916241,0.3817883165515573,-0.05305395143499901,-0.14504098978191124,-0.06392952210992939,0.3596095990053797,0.14352965394129252,-0.5609703378208101,-0.06789839947793357,0.578336105356361,0.1737140790750658,-0.5609170359828348,-0.07467858970273274,0.09897800705164682,0.08329755685784568,0.11450365971496941,0.12766115475918127,0.12230112336593287,0.09853565225291676
