PROVINCIA,CANTON,DISTRITO,ZIPCODE,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,REGION
SAN JOSÉ,GOICOECHEA,SAN FRANCISCO,10802,2032,77.54,78,2324,0.5,4648.0,CENTRAL
SAN JOSÉ,GOICOECHEA,CALLE BLANCOS,10803,18984,78.35,73,22293,2.39,9327.62,CENTRAL
SAN JOSÉ,GOICOECHEA,MATA DE PLÁTANO,10804,17370,79.32,67,20057,7.85,2555.03,CENTRAL
SAN JOSÉ,GOICOECHEA,IPÍS,10805,26033,72.52,130,30131,2.77,10877.62,CENTRAL
SAN JOSÉ,GOICOECHEA,RANCHO REDONDO,10806,2538,71.1,144,3008,12.52,240.26,CENTRAL
SAN JOSÉ,GOICOECHEA,PURRAL,10807,27464,67.51,199,33186,2.99,11099.0,CENTRAL
SAN JOSÉ,SANTA ANA,SANTA ANA,10901,11320,90.22,14,12625,5.17,2441.97,CENTRAL
SAN JOSÉ,SANTA ANA,SALITRAL,10902,4304,70.27,155,5073,20.37,249.04,CENTRAL
SAN JOSÉ,SANTA ANA,POZOS,10903,15585,95.32,6,18872,13.42,1406.26,CENTRAL
SAN JOSÉ,SANTA ANA,URUCA,10904,7200,82.02,50,8391,6.96,1205.6,CENTRAL
SAN JOSÉ,SANTA ANA,PIEDADES,10905,8128,84.62,35,9469,12.22,774.88,CENTRAL
SAN JOSÉ,SANTA ANA,BRASIL,10906,2586,74.89,99,2948,3.28,898.78,CENTRAL
SAN JOSÉ,ALAJUELITA,ALAJUELITA,11001,11988,79.18,69,12875,1.3,9903.85,CENTRAL
SAN JOSÉ,ALAJUELITA,SAN JOSECITO,11002,10506,70.26,157,12005,2.17,5532.26,CENTRAL
SAN JOSÉ,ALAJUELITA,SAN ANTONIO,11003,4739,62.68,247,5504,9.65,570.36,CENTRAL
SAN JOSÉ,ALAJUELITA,CONCEPCIÓN,11004,18721,68.52,182,21550,2.89,7456.75,CENTRAL
SAN JOSÉ,ALAJUELITA,SAN FELIPE,11005,31649,68.1,190,37220,5.16,7213.18,CENTRAL
SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN ISIDRO,11101,16625,84.75,34,18234,5.29,3446.88,CENTRAL
SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN RAFAEL,11102,7040,79.88,62,8053,17.33,464.69,CENTRAL
SAN JOSÉ,VÁSQUEZ DE CORONADO,DULCE NOMBRE DE JESÚS,11103,9744,79.38,66,11255,66.3,169.76,CENTRAL
SAN JOSÉ,VÁSQUEZ DE CORONADO,PATALILLO,11104,20349,82.19,47,23270,1.89,12312.17,CENTRAL
SAN JOSÉ,VÁSQUEZ DE CORONADO,CASCAJAL,11105,6728,64.91,220,7913,131.39,60.23,CENTRAL
SAN JOSÉ,ACOSTA,SAN IGNACIO,11201,9016,67.96,193,9183,23.19,395.99,CENTRAL
SAN JOSÉ,ACOSTA,GUAITIL,11202,2406,53.33,346,2559,43.88,58.32,CENTRAL
SAN JOSÉ,ACOSTA,PALMICHAL,11203,4581,59.85,280,4990,34.58,144.3,CENTRAL
SAN JOSÉ,ACOSTA,CANGREJAL,11204,1875,50.33,384,2026,63.98,31.67,CENTRAL
SAN JOSÉ,ACOSTA,SABANILLAS,11205,2331,42.86,445,2577,176.61,14.59,CENTRAL
SAN JOSÉ,TIBÁS,SAN JUAN,11301,21745,81.31,55,25979,3.38,7686.09,CENTRAL
SAN JOSÉ,TIBÁS,CINCO ESQUINAS,11302,5925,64.81,221,7993,0.66,12110.61,CENTRAL
SAN JOSÉ,TIBÁS,ANSELMO LLORENTE,11303,9986,83.61,39,12438,1.39,8948.2,CENTRAL
SAN JOSÉ,TIBÁS,LEÓN XIII,11304,13661,59.36,286,18657,0.79,23616.46,CENTRAL
SAN JOSÉ,TIBÁS,COLIMA,11305,13525,76.12,91,17149,1.93,8885.49,CENTRAL
SAN JOSÉ,MORAVIA,SAN VICENTE,11401,30998,90.04,16,32135,5.37,5984.17,CENTRAL
SAN JOSÉ,MORAVIA,SAN JERÓNIMO,11402,6154,70.06,159,6938,18.43,376.45,CENTRAL
SAN JOSÉ,MORAVIA,LA TRINIDAD,11403,19767,76.37,86,22075,4.82,4579.88,CENTRAL
SAN JOSÉ,MONTES DE OCA,SAN PEDRO,11501,23977,88.39,22,29229,4.82,6064.11,CENTRAL
SAN JOSÉ,MONTES DE OCA,SABANILLA,11502,10775,89.24,17,13560,1.79,7575.42,CENTRAL
SAN JOSÉ,MONTES DE OCA,MERCEDES,11503,4688,90.85,12,5893,1.39,4239.57,CENTRAL
SAN JOSÉ,MONTES DE OCA,SAN RAFAEL,11504,9692,77.43,79,12979,7.16,1812.71,CENTRAL
SAN JOSÉ,TURRUBARES,SAN PABLO,11601,1357,65.09,218,1506,25.89,58.17,CENTRAL
SAN JOSÉ,TURRUBARES,SAN PEDRO,11602,646,54.63,337,806,39.12,20.6,CENTRAL
SAN JOSÉ,TURRUBARES,SAN JUAN DE MATA,11603,1182,49.1,396,1417,84.48,16.77,CENTRAL
SAN JOSÉ,TURRUBARES,SAN LUIS,11604,517,50.53,381,662,44.5,14.88,CENTRAL
SAN JOSÉ,TURRUBARES,CARARA,11605,1810,51.78,363,2141,221.3,9.67,CENTRAL
SAN JOSÉ,DOTA,SANTA MARÍA,11701,4621,54.21,341,5022,83.09,60.44,CENTRAL
SAN JOSÉ,DOTA,JARDÍN,11702,524,54.57,338,676,35.3,19.15,CENTRAL
SAN JOSÉ,DOTA,COPEY,11703,1803,51.69,366,2028,281.83,7.2,CENTRAL
SAN JOSÉ,CURRIDABAT,CURRIDABAT,11801,28817,84.39,37,32413,6.48,5002.01,CENTRAL
SAN JOSÉ,CURRIDABAT,GRANADILLA,11802,14778,86.45,30,17944,3.41,5262.17,CENTRAL
SAN JOSÉ,CURRIDABAT,SÁNCHEZ,11803,5364,99.47,2,6494,4.17,1557.31,CENTRAL
SAN JOSÉ,CURRIDABAT,TIRRASES,11804,16247,66.37,206,20177,1.89,10675.66,CENTRAL
SAN JOSÉ,PÉREZ ZELEDÓN,SAN ISIDRO DE EL GENERAL,11901,45327,69.94,161,47680,196.89,242.17,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,EL GENERAL,11902,6373,67.12,202,6800,78.9,86.19,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,DANIEL FLORES,11903,33537,71.45,141,35063,62.11,564.53,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,RIVAS,11904,6591,52.7,354,7234,307.85,23.5,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,SAN PEDRO,11905,9102,52.83,351,9606,209.31,45.89,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,PLATANARES,11906,7203,55.8,323,7072,90.13,78.47,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,PEJIBAYE,11907,7995,46.95,408,5911,206.1,28.68,BRUNCA
SAN JOSÉ,PÉREZ ZELEDÓN,CAJÓN,11908,8542,52.11,362,9089,118.15,76.93,BRUNCA
